Reference Number = 2408 Incident Particle: neutron  Target: Z= 94 A= 239 Ef = -6.090
En(MeV)   DWV/w        DWVsym/w       DW>/w         DW</w            w         DWS/wd           wd         DWvso/wso       wso
  1.000  12.59213      11.41592      1.575813     -.3995973     0.9541347E-01  1.186581      3.163388      22.56668     -.6075394E-02
  1.050  12.50412      11.33598      1.564972     -.3968258     0.9675351E-01  1.176931      3.193677      22.40865     -.6161214E-02
  1.100  12.41734      11.25715      1.554283     -.3940932     0.9810268E-01  1.167405      3.223900      22.25282     -.6247632E-02
  1.150  12.33175      11.17940      1.543743     -.3913985     0.9946097E-01  1.158000      3.254056      22.09914     -.6334648E-02
  1.200  12.24734      11.10273      1.533348     -.3887412     0.1008284      1.148713      3.284142      21.94757     -.6422262E-02
  1.250  12.16407      11.02710      1.523097     -.3861203     0.1022049      1.139542      3.314156      21.79807     -.6510474E-02
  1.300  12.08194      10.95249      1.512985     -.3835352     0.1035905      1.130485      3.344096      21.65059     -.6599284E-02
  1.350  12.00091      10.87889      1.503010     -.3809851     0.1049852      1.121540      3.373960      21.50509     -.6688692E-02
  1.400  11.92096      10.80626      1.493169     -.3784694     0.1063890      1.112704      3.403746      21.36153     -.6778698E-02
  1.450  11.84208      10.73461      1.483460     -.3759873     0.1078019      1.103974      3.433452      21.21988     -.6869301E-02
  1.500  11.76423      10.66389      1.473881     -.3735381     0.1092238      1.095350      3.463077      21.08009     -.6960501E-02
  1.550  11.68741      10.59410      1.464427     -.3711214     0.1106548      1.086829      3.492617      20.94213     -.7052299E-02
  1.600  11.61158      10.52522      1.455098     -.3687363     0.1120949      1.078409      3.522071      20.80597     -.7144694E-02
  1.650  11.53674      10.45723      1.445890     -.3663823     0.1135441      1.070088      3.551438      20.67157     -.7237686E-02
  1.700  11.46285      10.39011      1.436802     -.3640588     0.1150022      1.061864      3.580716      20.53889     -.7331275E-02
  1.750  11.38991      10.32385      1.427831     -.3617652     0.1164695      1.053735      3.609903      20.40790     -.7425461E-02
  1.800  11.31790      10.25843      1.418974     -.3595010     0.1179457      1.045700      3.638997      20.27858     -.7520244E-02
  1.850  11.24679      10.19383      1.410230     -.3572655     0.1194310      1.037757      3.667997      20.15088     -.7615623E-02
  1.900  11.17657      10.13004      1.401597     -.3550583     0.1209254      1.029904      3.696901      20.02478     -.7711599E-02
  1.950  11.10723      10.06704      1.393071     -.3528788     0.1224287      1.022139      3.725708      19.90025     -.7808172E-02
  2.000  11.03875      10.00482      1.384653     -.3507265     0.1239411      1.014461      3.754415      19.77726     -.7905341E-02
  2.050  10.97110      9.943367      1.376339     -.3486009     0.1254624      1.006868      3.783023      19.65578     -.8003106E-02
  2.100  10.90429      9.882663      1.368127     -.3465015     0.1269928     0.9993588      3.811529      19.53578     -.8101467E-02
  2.150  10.83828      9.822696      1.360016     -.3444278     0.1285321     0.9919318      3.839931      19.41724     -.8200424E-02
  2.200  10.77308      9.763453      1.352004     -.3423795     0.1300804     0.9845855      3.868229      19.30013     -.8299978E-02
  2.250  10.70865      9.704920      1.344089     -.3403559     0.1316377     0.9773185      3.896421      19.18442     -.8400127E-02
  2.300  10.64500      9.647084      1.336270     -.3383567     0.1332040     0.9701293      3.924506      19.07009     -.8500871E-02
  2.350  10.58210      9.589934      1.328544     -.3363814     0.1347793     0.9630166      3.952483      18.95712     -.8602211E-02
  2.400  10.51994      9.533457      1.320910     -.3344297     0.1363634     0.9559791      3.980350      18.84548     -.8704147E-02
  2.450  10.45851      9.477641      1.313366     -.3325011     0.1379566     0.9490154      4.008106      18.73514     -.8806678E-02
  2.500  10.39779      9.422475      1.305912     -.3305951     0.1395587     0.9421243      4.035751      18.62609     -.8909804E-02
  2.550  10.33778      9.367947      1.298544     -.3287115     0.1411697     0.9353045      4.063283      18.51830     -.9013525E-02
  2.600  10.27846      9.314047      1.291262     -.3268498     0.1427896     0.9285549      4.090700      18.41176     -.9117841E-02
  2.650  10.21982      9.260764      1.284065     -.3250096     0.1444185     0.9218742      4.118003      18.30643     -.9222752E-02
  2.700  10.16185      9.208086      1.276951     -.3231907     0.1460563     0.9152612      4.145189      18.20230     -.9328258E-02
  2.750  10.10453      9.156005      1.269917     -.3213925     0.1477030     0.9087149      4.172259      18.09934     -.9434358E-02
  2.800  10.04786      9.104510      1.262964     -.3196148     0.1493585     0.9022341      4.199211      17.99755     -.9541053E-02
  2.850  9.991823      9.053590      1.256090     -.3178572     0.1510230     0.8958177      4.226044      17.89689     -.9648342E-02
  2.900  9.936411      9.003237      1.249293     -.3161194     0.1526964     0.8894647      4.252757      17.79735     -.9756225E-02
  2.950  9.881612      8.953441      1.242572     -.3144011     0.1543786     0.8831741      4.279350      17.69892     -.9864703E-02
  3.000  9.827417      8.904192      1.235927     -.3127019     0.1560697     0.8769448      4.305822      17.60157     -.9973774E-02
