
Reference Number = 2408 Incident Particle: neutron 
Target: Z= 94 A= 239 Number of energies= 181
Type potential: rotational   dispersive+SO(Anal.Integr.)  relativ.Schoedr.
First Author: R.Capote      
Z-Range=90- 97  A-Range=228-249  E-Range=   0.001- 200.000 MeV         Ef = -6.090

En(MeV)     V    RV    AV    DWV      W    RW    AW     VD   RVD   AVD     WD   RWD   AWD    VSO   RVSO  AVSO   WSO   RWSO  AWSO   VHFpn WSpn DVSpn    WVpn    DVVpn   V(Lane)  W(Lane)    E
 -3.350 45.651 1.250 0.638  0.467  0.014 1.253 0.680  2.124 1.181 0.604  0.652 1.181 0.604  5.895 1.121 0.590 -0.001 1.121 0.590 -0.581-0.072-0.235   0.000    0.000   -9.720   -1.205   -3.350
 -3.300 45.636 1.250 0.638  0.475  0.015 1.253 0.680  2.157 1.181 0.604  0.674 1.181 0.604  5.892 1.121 0.590 -0.001 1.121 0.590 -0.581-0.074-0.238   0.000    0.000   -9.715   -1.247   -3.300
 -3.250 45.621 1.250 0.638  0.484  0.015 1.253 0.680  2.189 1.181 0.604  0.697 1.181 0.604  5.890 1.121 0.590 -0.001 1.121 0.590 -0.580-0.077-0.242   0.000    0.000   -9.710   -1.288   -3.250
 -3.200 45.606 1.250 0.638  0.492  0.016 1.253 0.680  2.221 1.181 0.604  0.720 1.181 0.604  5.888 1.121 0.590 -0.001 1.121 0.590 -0.580-0.080-0.245   0.000    0.000   -9.705   -1.330   -3.200
 -3.150 45.591 1.250 0.638  0.501  0.017 1.253 0.680  2.253 1.181 0.604  0.743 1.181 0.604  5.885 1.121 0.590 -0.001 1.121 0.590 -0.580-0.082-0.249   0.000    0.000   -9.700   -1.373   -3.150
 -3.100 45.576 1.250 0.638  0.509  0.017 1.253 0.680  2.285 1.181 0.604  0.766 1.181 0.604  5.883 1.121 0.590 -0.001 1.121 0.590 -0.579-0.085-0.252   0.000    0.000   -9.695   -1.416   -3.100
 -3.050 45.561 1.250 0.638  0.518  0.018 1.253 0.680  2.316 1.181 0.604  0.790 1.181 0.604  5.880 1.121 0.590 -0.001 1.121 0.590 -0.579-0.087-0.256   0.000    0.000   -9.690   -1.460   -3.050
 -3.000 45.547 1.250 0.638  0.526  0.018 1.253 0.680  2.347 1.181 0.604  0.814 1.181 0.604  5.878 1.121 0.590 -0.001 1.121 0.590 -0.579-0.090-0.259   0.000    0.000   -9.685   -1.504   -3.000
 -2.950 45.532 1.250 0.638  0.535  0.019 1.253 0.680  2.377 1.181 0.604  0.838 1.181 0.604  5.875 1.121 0.590 -0.001 1.121 0.590 -0.578-0.093-0.263   0.000    0.000   -9.680   -1.549   -2.950
 -2.900 45.517 1.250 0.638  0.543  0.019 1.253 0.680  2.407 1.181 0.604  0.862 1.181 0.604  5.873 1.121 0.590 -0.001 1.121 0.590 -0.578-0.095-0.266   0.000    0.000   -9.675   -1.594   -2.900
 -2.850 45.502 1.250 0.638  0.552  0.020 1.253 0.680  2.437 1.181 0.604  0.887 1.181 0.604  5.870 1.121 0.590 -0.001 1.121 0.590 -0.578-0.098-0.269   0.000    0.000   -9.670   -1.640   -2.850
 -2.800 45.487 1.250 0.638  0.560  0.021 1.253 0.680  2.467 1.181 0.604  0.912 1.181 0.604  5.868 1.121 0.590 -0.001 1.121 0.590 -0.578-0.101-0.272   0.000    0.000   -9.665   -1.686   -2.800
 -2.750 45.472 1.250 0.638  0.569  0.021 1.253 0.680  2.496 1.181 0.604  0.937 1.181 0.604  5.865 1.121 0.590 -0.001 1.121 0.590 -0.577-0.104-0.276   0.000    0.000   -9.660   -1.732   -2.750
 -2.700 45.458 1.250 0.638  0.577  0.022 1.253 0.680  2.525 1.181 0.604  0.963 1.181 0.604  5.863 1.121 0.590 -0.001 1.121 0.590 -0.577-0.106-0.279   0.000    0.000   -9.655   -1.779   -2.700
 -2.650 45.443 1.250 0.638  0.586  0.023 1.253 0.680  2.554 1.181 0.604  0.988 1.181 0.604  5.861 1.121 0.590 -0.001 1.121 0.590 -0.577-0.109-0.282   0.000    0.000   -9.650   -1.826   -2.650
 -2.600 45.428 1.250 0.638  0.594  0.023 1.253 0.680  2.582 1.181 0.604  1.014 1.181 0.604  5.858 1.121 0.590 -0.001 1.121 0.590 -0.576-0.112-0.285   0.000    0.000   -9.645   -1.874   -2.600
 -2.550 45.413 1.250 0.638  0.603  0.024 1.253 0.680  2.610 1.181 0.604  1.040 1.181 0.604  5.856 1.121 0.590 -0.002 1.121 0.590 -0.576-0.115-0.288   0.000    0.000   -9.640   -1.922   -2.550
 -2.500 45.399 1.250 0.638  0.611  0.025 1.253 0.680  2.637 1.181 0.604  1.066 1.181 0.604  5.853 1.121 0.590 -0.002 1.121 0.590 -0.576-0.118-0.291   0.000    0.000   -9.635   -1.971   -2.500
 -2.450 45.384 1.250 0.638  0.620  0.025 1.253 0.680  2.665 1.181 0.604  1.093 1.181 0.604  5.851 1.121 0.590 -0.002 1.121 0.590 -0.575-0.121-0.294   0.000    0.000   -9.630   -2.020   -2.450
 -2.400 45.369 1.250 0.638  0.628  0.026 1.253 0.680  2.692 1.181 0.604  1.120 1.181 0.604  5.848 1.121 0.590 -0.002 1.121 0.590 -0.575-0.124-0.297   0.000    0.000   -9.625   -2.069   -2.400
 -2.350 45.354 1.250 0.638  0.637  0.027 1.253 0.680  2.718 1.181 0.604  1.146 1.181 0.604  5.846 1.121 0.590 -0.002 1.121 0.590 -0.575-0.127-0.300   0.000    0.000   -9.620   -2.119   -2.350
 -2.300 45.340 1.250 0.638  0.645  0.027 1.253 0.680  2.745 1.181 0.604  1.174 1.181 0.604  5.843 1.121 0.590 -0.002 1.121 0.590 -0.575-0.130-0.303   0.000    0.000   -9.615   -2.169   -2.300
 -2.250 45.325 1.250 0.638  0.654  0.028 1.253 0.680  2.771 1.181 0.604  1.201 1.181 0.604  5.841 1.121 0.590 -0.002 1.121 0.590 -0.574-0.133-0.306   0.000    0.000   -9.610   -2.219   -2.250
 -2.200 45.310 1.250 0.638  0.662  0.029 1.253 0.680  2.796 1.181 0.604  1.228 1.181 0.604  5.839 1.121 0.590 -0.002 1.121 0.590 -0.574-0.136-0.309   0.000    0.000   -9.605   -2.270   -2.200
 -2.150 45.296 1.250 0.638  0.671  0.030 1.253 0.680  2.821 1.181 0.604  1.256 1.181 0.604  5.836 1.121 0.590 -0.002 1.121 0.590 -0.574-0.139-0.312   0.000    0.000   -9.600   -2.321   -2.150
 -2.100 45.281 1.250 0.638  0.679  0.030 1.253 0.680  2.846 1.181 0.604  1.284 1.181 0.604  5.834 1.121 0.590 -0.002 1.121 0.590 -0.573-0.142-0.314   0.000    0.000   -9.595   -2.373   -2.100
 -2.050 45.266 1.250 0.638  0.688  0.031 1.253 0.680  2.871 1.181 0.604  1.312 1.181 0.604  5.831 1.121 0.590 -0.002 1.121 0.590 -0.573-0.145-0.317   0.000    0.000   -9.590   -2.424   -2.050
 -2.000 45.252 1.250 0.638  0.696  0.032 1.253 0.680  2.895 1.181 0.604  1.340 1.181 0.604  5.829 1.121 0.590 -0.002 1.121 0.590 -0.573-0.148-0.320   0.000    0.000   -9.585   -2.476   -2.000
 -1.950 45.237 1.250 0.638  0.705  0.033 1.253 0.680  2.919 1.181 0.604  1.368 1.181 0.604  5.826 1.121 0.590 -0.002 1.121 0.590 -0.572-0.151-0.322   0.000    0.000   -9.580   -2.529   -1.950
 -1.900 45.223 1.250 0.638  0.713  0.033 1.253 0.680  2.943 1.181 0.604  1.397 1.181 0.604  5.824 1.121 0.590 -0.002 1.121 0.590 -0.572-0.154-0.325   0.000    0.000   -9.575   -2.581   -1.900
 -1.850 45.208 1.250 0.638  0.722  0.034 1.253 0.680  2.966 1.181 0.604  1.425 1.181 0.604  5.821 1.121 0.590 -0.002 1.121 0.590 -0.572-0.157-0.328   0.000    0.000   -9.570   -2.634   -1.850
 -1.800 45.193 1.250 0.638  0.730  0.035 1.253 0.680  2.989 1.181 0.604  1.454 1.181 0.604  5.819 1.121 0.590 -0.002 1.121 0.590 -0.572-0.161-0.330   0.000    0.000   -9.565   -2.687   -1.800
 -1.750 45.179 1.250 0.638  0.739  0.036 1.253 0.680  3.012 1.181 0.604  1.483 1.181 0.604  5.817 1.121 0.590 -0.002 1.121 0.590 -0.571-0.164-0.333   0.000    0.000   -9.560   -2.741   -1.750
 -1.700 45.164 1.250 0.638  0.747  0.037 1.253 0.680  3.034 1.181 0.604  1.512 1.181 0.604  5.814 1.121 0.590 -0.002 1.121 0.590 -0.571-0.167-0.335   0.000    0.000   -9.555   -2.794   -1.700
