Reference Number = 2408 Incident Particle: neutron  Target: Z= 94 A= 239 Ef = -6.090
En(MeV)   RealPot   RVolPot   RSurPot    VSOPot   DVolPot    DVolNonL  DVolSym    ImPot    ImVolPot   ImSurPot   WSOPot
 -2.000   420.735   400.471    20.264    -4.359     6.251     0.580     5.671     9.664     0.287     9.377     0.002
 -1.950   420.774   400.343    20.431    -4.357     6.327     0.587     5.740     9.869     0.294     9.576     0.002
 -1.900   420.811   400.215    20.597    -4.355     6.403     0.594     5.809    10.075     0.301     9.775     0.002
 -1.850   420.846   400.087    20.760    -4.353     6.479     0.601     5.878    10.283     0.308     9.975     0.002
 -1.800   420.879   399.959    20.920    -4.351     6.555     0.609     5.947    10.491     0.315    10.176     0.002
 -1.750   420.909   399.831    21.078    -4.349     6.631     0.616     6.016    10.701     0.323    10.378     0.002
 -1.700   420.937   399.703    21.234    -4.348     6.707     0.623     6.085    10.912     0.330    10.582     0.002
 -1.650   420.963   399.575    21.388    -4.346     6.783     0.630     6.153    11.123     0.338    10.786     0.002
 -1.600   420.986   399.447    21.539    -4.344     6.859     0.637     6.222    11.336     0.345    10.991     0.002
 -1.550   421.007   399.320    21.687    -4.342     6.935     0.644     6.291    11.549     0.353    11.196     0.002
 -1.500   421.026   399.192    21.834    -4.340     7.011     0.651     6.360    11.764     0.361    11.403     0.002
 -1.450   421.043   399.065    21.978    -4.339     7.087     0.658     6.429    11.979     0.369    11.610     0.002
 -1.400   421.057   398.938    22.119    -4.337     7.163     0.665     6.498    12.195     0.377    11.819     0.002
 -1.350   421.069   398.811    22.258    -4.335     7.239     0.673     6.566    12.412     0.385    12.027     0.002
 -1.300   421.079   398.684    22.395    -4.333     7.315     0.680     6.635    12.630     0.393    12.237     0.002
 -1.250   421.086   398.557    22.530    -4.331     7.391     0.687     6.704    12.848     0.401    12.447     0.002
 -1.200   421.092   398.430    22.662    -4.329     7.467     0.694     6.773    13.067     0.409    12.658     0.002
 -1.150   421.095   398.303    22.792    -4.328     7.543     0.701     6.841    13.287     0.418    12.870     0.002
 -1.100   421.095   398.176    22.919    -4.326     7.618     0.708     6.910    13.508     0.426    13.082     0.002
 -1.050   421.094   398.050    23.044    -4.324     7.694     0.715     6.979    13.729     0.435    13.294     0.002
 -1.000   421.090   397.923    23.167    -4.322     7.770     0.722     7.048    13.950     0.443    13.507     0.002
 -0.950   421.084   397.797    23.287    -4.320     7.846     0.730     7.116    14.173     0.452    13.721     0.002
 -0.900   421.076   397.670    23.406    -4.318     7.922     0.737     7.185    14.395     0.461    13.935     0.002
 -0.850   421.065   397.544    23.521    -4.317     7.997     0.744     7.254    14.619     0.470    14.149     0.002
 -0.800   421.053   397.418    23.635    -4.315     8.073     0.751     7.322    14.842     0.479    14.364     0.003
 -0.750   421.038   397.292    23.746    -4.313     8.149     0.758     7.391    15.067     0.488    14.579     0.003
 -0.700   421.021   397.166    23.855    -4.311     8.225     0.765     7.459    15.291     0.497    14.794     0.003
 -0.650   421.001   397.040    23.962    -4.309     8.300     0.772     7.528    15.516     0.506    15.010     0.003
 -0.600   420.980   396.914    24.066    -4.308     8.376     0.779     7.597    15.742     0.515    15.226     0.003
